dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),Density Peaks (DTW),Density Peaks (Euclidean),Agglomerative (Euclidean)
Chinatown,0.08113206175818002,0.10980388404,0.10342144197856999,0.162732,0.0980833956349,0.094049,0.15363,0.07368820172592896
PigArtPressure,0.6820903884311,0.6771698743158,1.0,0.701491,0.6749934428407,0.746695,0.694867,0.6946789947727601
StarLightCurves,0.5686221862771002,0.4135473500129999,0.6058133914015,0.573383,0.567312162403,in progress,0.581385,0.5655180126496536
Beef,0.36422627752299996,0.33953615815950006,0.2794093695647001,0.276697,0.33712582491709997,0.271264,0.252396,0.3289097561858756
TwoLeadECG,0.0035706764200160003,0.00262986073351,0.06447891056140001,0.017053,0.00293230380705,0.040263,0.00073,0.0014748093365672922
Earthquakes,0.0022072365914182204,0.002515978163246931,0.007719232048249281,nan,0.003090704680475191,0.053088,0.000402,0.0006058470923813456
ACSF1,0.5354240413011,0.3992220344524,0.4619391431624,0.486103,0.5128052269914001,0.439535,0.526909,0.5091742634343829
Phoneme,0.1568596127353,0.1352970523688,0.20688133334029998,0.203858,0.10779491986050001,0.212646,0.357313,0.1760403609268049
ShapesAll,0.7207778066143,0.6809347469961,0.7500628570983999,0.750635,0.5159552199831999,0.742192,0.682976,0.7500393932458085
PigCVP,0.6043284351324999,0.6005747075557,0.5516176297463999,0.63528,0.6981455641299,0.602329,0.594888,0.6189730817076877
FreezerRegularTrain,0.22061114536409998,0.2080660176472,0.21150897181019998,0.212564,0.22015397258,0.113801,0.208305,0.20008640731269411
LargeKitchenAppliances,0.024432495853730002,0.02131136454059,0.23090635997873993,0.029742,0.02427631482156,0.06816,0.026114,0.024188250402603924
Herring,0.007729142672979,0.007747186164999001,0.008336698203587001,0.043793,0.00459796073543,0.197907,0.006906,0.011347375508292968
DodgerLoopGame,0.022850472793660002,0.018552079185388003,0.23118034067858,0.001797,0.006575503084938,0.168916,0.123402,0.011906312724353078
CricketX,0.24845259255470004,0.2010156459605,0.3517337561744,0.287832,0.12440758475270002,0.417064,0.177533,0.28208988411627767
DistalPhalanxTW,0.4521106943474001,0.4361847431798,0.49010550982870005,0.575942,0.4272514748731,0.289305,0.433558,0.5363746246602212
SemgHandMovementCh2,0.2885821597464,0.2738741041767,0.20469871416589996,0.267324,0.23929055918540004,0.106899,0.111936,0.29471576330858074
FacesUCR,0.3582557234131,0.3270780316784,0.6203585564588001,0.588284,0.1653119857057,0.652916,0.562767,0.4557918191172878
Yoga,0.0007047592207731001,0.0010794946402759998,0.0007339185698098399,0.002904,0.00412776867799,0.001829,0.00177,0.0015339759362397488
ArrowHead,0.31716995713119994,0.317576612218,0.26044971134640005,0.268481,0.25703540792600005,0.351396,0.35313,0.3109115537430438
UWaveGestureLibraryY,0.4406616061786,0.42451927984969995,0.34002337270899996,0.455545,0.4164359229933,0.58302,0.528141,0.45307163510002163
